2026-07-04 00:22:10,294 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>65
2026-07-04 00:22:10,455 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>65
2026-07-04 00:22:10,604 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>65
2026-07-04 00:22:10,751 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>65
2026-07-04 00:22:10,895 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>65
2026-07-04 00:22:11,038 | INFO     | Stratum.Optimizer |   Progress: 150/625
2026-07-04 00:22:11,039 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:11,201 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:11,373 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:11,551 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:11,707 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:11,856 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,004 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,176 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,354 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,512 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,681 | INFO     | Stratum.Optimizer |   Progress: 160/625
2026-07-04 00:22:12,682 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,830 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:12,983 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:13,137 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:13,283 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:13,442 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
2026-07-04 00:22:13,608 | INFO     | Stratum.Engine | Running AAPL: 1507 bars, params: buy<28, sell>70
